Day,Culture,Temperature,Disk,Treatment,Date,JuvID,F,Fm,Fo,FvFm,FvFmInitial,FvFmPercentageChange,CellPerJuv,Area_mm2,Area_mm2_Difference,Area_mm2_PercentageChange,Polyps,Polyps_Difference,Polyps_PercentageChange,Dead,RespirationPerMM2 ,CellsPerMM2,CellDensityPerMM2PercentChange,CellDensityPerMM2PercentChangePerTimePointAndCulture
03,SS01,27,02,SS01@27,17.10.19,6,0.1902,0.2387,0.1902,0.203,0.267,-23.97003745,,,,,,,,,,,,
03,SS01,27,07,SS01@27,17.10.19,6,0.0328,0.0686,0.0328,0.521,0.466,11.80257511,,,,,,,,,,,,
07,SS01,27,02,SS01@27,21.10.19,6,0.1559,0.2132,0.1559,0.269,0.267,0.74906367,,,,,,,,,,,,
07,SS01,27,07,SS01@27,21.10.19,6,0.0294,0.0618,0.0294,0.524,0.466,12.44635193,,,,,,,,,,,,
10,SS01,27,02,SS01@27,24.10.19,6,0.1701,0.2348,0.1701,0.276,0.267,3.370786517,,,,,,,,,,,,
10,SS01,27,07,SS01@27,24.10.19,6,0.0147,0.0289,0.0147,0,0.466,-100,,,,,,,,,,,,
00,SS01,27,02,SS01@27,15.10.19,7,0.2074,0.2549,0.2074,0.187,0.187,0,,1.054,0,,1,,,no,,,,
00,SS01,27,07,SS01@27,15.10.19,7,0.0054,0.0083,0.0054,0,0,,,1.403,0,,3,,,no,,,,
03,SS01,27,02,SS01@27,17.10.19,7,0.2338,0.2681,0.2338,0.128,0.187,-31.55080214,,,,,,,,,,,,
03,SS01,27,07,SS01@27,17.10.19,7,0.0162,0.0324,0.0162,0,0,,,,,,,,,,,,,
07,SS01,27,02,SS01@27,21.10.19,7,0.223,0.2618,0.223,0.148,0.187,-20.85561497,,,,,,,,,,,,
07,SS01,27,07,SS01@27,21.10.19,7,0.0245,0.048,0.0245,0.49,0,,,,,,,,,,,,,
10,SS01,27,02,SS01@27,24.10.19,7,0.2118,0.2603,0.2118,0.186,0.187,-0.534759358,,,,,,,,,,,,
10,SS01,27,07,SS01@27,24.10.19,7,0.0142,0.0245,0.0142,0,0,,,,,,,,,,,,,
00,SS01,27,02,SS01@27,15.10.19,8,0.0137,0.0211,0.0137,0,0,,,,,,,,,yes,,,,
00,SS01,27,07,SS01@27,15.10.19,8,0.1912,0.2721,0.1912,0.297,0.297,0,,0.522,0,,1,,,no,,,,
03,SS01,27,02,SS01@27,17.10.19,8,0.0049,0.0029,0.0049,0,0,,,,,,,,,,,,,
03,SS01,27,07,SS01@27,17.10.19,8,0.1902,0.2637,0.1902,0.279,0.297,-6.060606061,,,,,,,,,,,,
07,SS01,27,02,SS01@27,21.10.19,8,0.025,0.05,0.025,0.5,0,,,,,,,,,,,,,
07,SS01,27,07,SS01@27,21.10.19,8,0.1809,0.2613,0.1809,0.308,0.297,3.703703704,,,,,,,,,,,,
10,SS01,27,02,SS01@27,24.10.19,8,0.0044,0.0044,0.0044,0,0,,,,,,,,,,,,,
10,SS01,27,07,SS01@27,24.10.19,8,0.1784,0.2578,0.1784,0.308,0.297,3.703703704,,,,,,,,,,,,
00,SS01,27,02,SS01@27,15.10.19,9,0.2431,0.274,0.2431,0.113,0.113,0,56067,1.646,0,,2,,,no,,34062,,
00,SS01,27,07,SS01@27,15.10.19,9,0.1931,0.2799,0.1931,0.31,0.31,0,,0.61,0,,1,,,no,0.000249575,,,
03,SS01,27,02,SS01@27,17.10.19,9,0.0049,0.0044,0.0049,0,0.113,-100,,,,,,,,,,,,
03,SS01,27,07,SS01@27,17.10.19,9,0.0294,0.0598,0.0294,0.508,0.31,63.87096774,,,,,,,,,,,,
07,SS01,27,02,SS01@27,21.10.19,9,0.0186,0.0353,0.0186,0,0.113,-100,,,,,,,,,,,,
07,SS01,27,07,SS01@27,21.10.19,9,0.0235,0.0544,0.0235,0.568,0.31,83.22580645,,,,,,,,,,,,
10,SS01,27,02,SS01@27,24.10.19,9,0.0049,0.0054,0.0049,0,0.113,-100,,,,,,,,,,,,
10,SS01,27,07,SS01@27,24.10.19,9,0.0279,0.0623,0.0279,0.551,0.31,77.74193548,,,,,,,,,,,,
00,SS01,27,02,SS01@27,15.10.19,10,0.0132,0.0172,0.0132,0,0,,,1.63,0,,2,,,no,,,,
00,SS01,27,07,SS01@27,15.10.19,10,0.1123,0.2162,0.1123,0.481,0.481,0,,,,,,,,yes,,,,
03,SS01,27,02,SS01@27,17.10.19,10,0.0103,0.0142,0.0103,0,0,,,,,,,,,,,,,
03,SS01,27,07,SS01@27,17.10.19,10,0.0426,0.0794,0.0426,0.463,0.481,-3.742203742,,,,,,,,,,,,
07,SS01,27,02,SS01@27,21.10.19,10,0.0108,0.0201,0.0108,0,0,,,,,,,,,,,,,
07,SS01,27,07,SS01@27,21.10.19,10,0.0809,0.1696,0.0809,0.523,0.481,8.731808732,,,,,,,,,,,,
10,SS01,27,02,SS01@27,24.10.19,10,0.0162,0.0348,0.0162,0,0,,,,,,,,,,,,,
10,SS01,27,07,SS01@27,24.10.19,10,0.0279,0.0456,0.0279,0,0.481,-100,,,,,,,,,,,,
00,SS01,27,02,SS01@27,15.10.19,11,0.1995,0.2407,0.1995,0.171,0.171,0,,1.042,0,,1,,,no,,,,
00,SS01,27,07,SS01@27,15.10.19,11,0.2387,0.3064,0.2387,0.221,0.221,0,,1.098,0,,1,,,no,,,,
03,SS01,27,02,SS01@27,17.10.19,11,0.1843,0.2211,0.1843,0.166,0.171,-2.923976608,,,,,,,,,,,,
03,SS01,27,07,SS01@27,17.10.19,11,0.2294,0.2833,0.2294,0.19,0.221,-14.02714932,,,,,,,,,,,,
07,SS01,27,02,SS01@27,21.10.19,11,0.1789,0.2176,0.1789,0.178,0.171,4.093567251,,,,,,,,,,,,
07,SS01,27,07,SS01@27,21.10.19,11,0.2191,0.2789,0.2191,0.214,0.221,-3.167420814,,,,,,,,,,,,
10,SS01,27,02,SS01@27,24.10.19,11,0.1657,0.2083,0.1657,0.205,0.171,19.88304094,,,,,,,,,,,,
10,SS01,27,07,SS01@27,24.10.19,11,0.2221,0.2887,0.2221,0.231,0.221,4.524886878,,,,,,,,,,,,
00,WT10,27,07,WT10@27,15.10.19,1,0.2843,0.323,0.2843,0.12,0.12,0,,2.712,0,,4,,,no,,,,
03,WT10,27,07,WT10@27,17.10.19,1,0.2907,0.3265,0.2907,0.11,0.12,-8.333333333,,,,,,,,,,,,
07,WT10,27,07,WT10@27,21.10.19,1,0.2784,0.3225,0.2784,0.137,0.12,14.16666667,,,,,,,,,,,,
10,WT10,27,07,WT10@27,24.10.19,1,0.2794,0.3235,0.2794,0.136,0.12,13.33333333,,,,,,,,,,,,
00,WT10,27,07,WT10@27,15.10.19,2,0.1721,0.2652,0.1721,0.351,0.351,0,,0.316,0,,1,,,no,,,,
03,WT10,27,07,WT10@27,17.10.19,2,0.0049,0.0059,0.0049,0,0.351,-100,,,,,,,,,,,,
07,WT10,27,07,WT10@27,21.10.19,2,0.0054,0.0074,0.0054,0,0.351,-100,,,,,,,,,,,,
10,WT10,27,07,WT10@27,24.10.19,2,0.0069,0.0108,0.0069,0,0.351,-100,,,,,,,,,,,,
00,WT10,27,07,WT10@27,15.10.19,3,0.198,0.2373,0.198,0.165,0.165,0,,2.213,0,,1,,,no,,,,
03,WT10,27,07,WT10@27,17.10.19,3,0.0034,0.0054,0.0034,0,0.165,-100,,,,,,,,,,,,
07,WT10,27,07,WT10@27,21.10.19,3,0.0103,0.0064,0.0103,0,0.165,-100,,,,,,,,,,,,
10,WT10,27,07,WT10@27,24.10.19,3,0.0083,0.0074,0.0083,0,0.165,-100,,,,,,,,,,,,
00,WT10,27,07,WT10@27,15.10.19,4,0.2294,0.2662,0.2294,0.138,0.138,0,,1.433,0,,3,,,no,,,,
03,WT10,27,07,WT10@27,17.10.19,4,0.2162,0.2564,0.2162,0.157,0.138,13.76811594,,,,,,,,,,,,
07,WT10,27,07,WT10@27,21.10.19,4,0.2147,0.2662,0.2147,0.193,0.138,39.85507246,,,,,,,,,,,,
10,WT10,27,07,WT10@27,24.10.19,4,0.2142,0.2623,0.2142,0.183,0.138,32.60869565,,,,,,,,,,,,
00,WT10,27,07,WT10@27,15.10.19,5,0.1686,0.2951,0.1686,0.429,0.429,0,,,,,,,,yes,,,,
03,WT10,27,07,WT10@27,17.10.19,5,0.0044,0.0083,0.0044,0,0.429,-100,,,,,,,,,,,,
07,WT10,27,07,WT10@27,21.10.19,5,0.0059,0.0039,0.0059,0,0.429,-100,,,,,,,,,,,,
10,WT10,27,07,WT10@27,24.10.19,5,0.0083,0.0069,0.0083,0,0.429,-100,,,,,,,,,,,,
00,WT10,27,07,WT10@27,15.10.19,6,0.2172,0.2623,0.2172,0.172,0.172,0,,1.954,0,,4,,,no,,,,
03,WT10,27,07,WT10@27,17.10.19,6,0.2235,0.2662,0.2235,0.16,0.172,-6.976744186,,,,,,,,,,,,
07,WT10,27,07,WT10@27,21.10.19,6,0.1931,0.2525,0.1931,0.235,0.172,36.62790698,,,,,,,,,,,,
10,WT10,27,07,WT10@27,24.10.19,6,0.2123,0.2598,0.2123,0.183,0.172,6.395348837,,,,,,,,,,,,
00,WT10,27,07,WT10@27,15.10.19,7,0.2142,0.2848,0.2142,0.248,0.248,0,,1.056,0,,2,,,no,,,,
03,WT10,27,07,WT10@27,17.10.19,7,0.2074,0.2735,0.2074,0.242,0.248,-2.419354839,,,,,,,,,,,,
07,WT10,27,07,WT10@27,21.10.19,7,0.2059,0.2701,0.2059,0.238,0.248,-4.032258065,,,,,,,,,,,,
10,WT10,27,07,WT10@27,24.10.19,7,0.2142,0.275,0.2142,0.221,0.248,-10.88709677,,,,,,,,,,,,
00,WT10,27,07,WT10@27,15.10.19,8,0.2167,0.2789,0.2167,0.223,0.223,0,28067,1.178,0,,2,,,no,,23826,,
03,WT10,27,07,WT10@27,17.10.19,8,0.0132,0.0299,0.0132,0,0.223,-100,,,,,,,,,,,,
07,WT10,27,07,WT10@27,21.10.19,8,0.0255,0.0461,0.0255,0,0.223,-100,,,,,,,,,,,,
10,WT10,27,07,WT10@27,24.10.19,8,0.0137,0.0191,0.0137,0,0.223,-100,,,,,,,,,,,,
00,WT10,27,07,WT10@27,15.10.19,9,0.248,0.3025,0.248,0.18,0.18,0,,2.626,0,,3,,,no,,,,
03,WT10,27,07,WT10@27,17.10.19,9,0.2309,0.2887,0.2309,0.2,0.18,11.11111111,,,,,,,,,,,,
07,WT10,27,07,WT10@27,21.10.19,9,0.2426,0.2877,0.2426,0.157,0.18,-12.77777778,,,,,,,,,,,,
10,WT10,27,07,WT10@27,24.10.19,9,0.2382,0.2838,0.2382,0.161,0.18,-10.55555556,,,,,,,,,,,,
00,WT10,27,07,WT10@27,15.10.19,10,0.2789,0.3284,0.2789,0.151,0.151,0,,2.151,0,,3,,,no,,,,
03,WT10,27,07,WT10@27,17.10.19,10,0.2863,0.3328,0.2863,0.14,0.151,-7.284768212,,,,,,,,,,,,
07,WT10,27,07,WT10@27,21.10.19,10,0.2809,0.3284,0.2809,0.145,0.151,-3.973509934,,,,,,,,,,,,
10,WT10,27,07,WT10@27,24.10.19,10,0.2824,0.3343,0.2824,0.155,0.151,2.649006623,,,,,,,,,,,,
00,WT10,27,07,WT10@27,15.10.19,11,0.2284,0.2853,0.2284,0.199,0.199,0,,1.494,0,,2,,,no,,,,
03,WT10,27,07,WT10@27,17.10.19,11,0.2221,0.2716,0.2221,0.182,0.199,-8.542713568,,,,,,,,,,,,
07,WT10,27,07,WT10@27,21.10.19,11,0.226,0.276,0.226,0.181,0.199,-9.045226131,,,,,,,,,,,,
10,WT10,27,07,WT10@27,24.10.19,11,0.2078,0.2637,0.2078,0.212,0.199,6.532663317,,,,,,,,,,,,
00,WT10,27,07,WT10@27,15.10.19,12,0.2343,0.2809,0.2343,0.166,0.166,0,,1.175,0,,1,,,no,,,,
03,WT10,27,07,WT10@27,17.10.19,12,0.2319,0.2779,0.2319,0.166,0.166,0,,,,,,,,,,,,
07,WT10,27,07,WT10@27,21.10.19,12,0.224,0.2637,0.224,0.151,0.166,-9.036144578,,,,,,,,,,,,
10,WT10,27,07,WT10@27,24.10.19,12,0.2142,0.2721,0.2142,0.213,0.166,28.31325301,,,,,,,,,,,,
00,WT10,27,01,WT10@27,15.10.19,1,0.1877,0.3152,0.1877,0.404,0.404,0,,,,,,,,yes,,,,
03,WT10,27,01,WT10@27,17.10.19,1,0.1863,0.3132,0.1863,0.405,0.404,0.247524752,,,,,,,,,,,,
07,WT10,27,01,WT10@27,21.10.19,1,0.2108,0.3284,0.2108,0.358,0.404,-11.38613861,,,,,,,,,,,,
10,WT10,27,01,WT10@27,24.10.19,1,0.2191,0.324,0.2191,0.324,0.404,-19.8019802,,,,,,,,,,,,
00,WT10,27,01,WT10@27,15.10.19,2,0.1613,0.249,0.1613,0.352,0.352,0,,0.338,0,,1,,,no,,,,
